Removed duplicates of file with Size: 123.511.024 bytes; 

$awk '!seen[$0]++' boot_success_b0x2f000000_addr_output_bigger.txt > boot_success_b0x2f000000_addr_output_bigger_cleaned.txt

This Files shows 'all' reads and writes during boot process that are:
> 0x2f000000

Beforehand it was observed that addresses from somewhere in that range are readed during the boot process, w/o beeing written from qemu;
By excluding certain addresses, it was possible to finally boot the kernel again with activated encryption;


~ [No Crypt] addr: 3fa5492c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa5488c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4d858; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa549e0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4d848; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa5484c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54864; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54868; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55fb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55fbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa548a0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54898; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa548b0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4d850; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa549bc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa549dc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa548b4; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004bc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004bd0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004bcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa549d8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54880; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54884; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54ad4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa5487c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54874; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54878; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa5486c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54870; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54888; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4d8a0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa549f0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54b18; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa55fc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004bd8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004be0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004bdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004be8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004bf0; size: 4; type mem_op_read;
